
================================================================================
RESONANT HUNTER v8.4.9 – SINGULARIDAD RECUPERADA
================================================================================

📁 Cargando datos LIGO O4a...
✓ Cargadas 67108864 muestras. GPS inicio: 1389424640.0

[FASE 1] Blanqueo Percudani (ε = 1e-4, k_early = 0.967)...

[FASE 2] Análisis de coherencia (8189 ventanas)
   ✓ Ventana 50 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1300 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 100 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1300 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 150 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1300 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 200 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1299 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 250 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1299 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 300 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1299 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 350 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1299 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 400 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1299 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 450 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1299 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 500 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1299 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 550 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1299 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 600 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1298 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 650 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1298 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 700 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1298 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 750 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1298 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 800 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1298 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 850 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1298 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 900 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1298 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 950 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1297 Hz ⚠️ SINGULARIDAD
   ✓ Ventana 1000 | Coh: 1.000 | Lag: -150 | Freq: 227.500 Hz | Anomalía: +40.1297 Hz ⚠️ SINGULARIDAD
